Solving the file: X-n336-k84.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    335 clients
    335 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    17500    617s |  39    52731    52064 |  50    52683    52044
H   18000    649s |  65    53711    52057 |  43    42210    40352
H   18500    672s |  57    53731    52052 |  59    49455    47634
H   19000    709s |  64    53553    52032 |  64    41731    40455
H   19500    731s |  37    53042    52029 |  41    42446    40503
H   20000    769s |  43    53277    52018 |  56    42660    40735
H   20500    789s |  31    52453    52017 |  43    51953    51578
    21000    800s |  28    52064    52017 |  61    52272    52039
H   21500    821s |  53    52591    52011 |  25    52065    51687
    22000    848s |  54    52850    52011 |  52    52316    51701
    22500    864s |  25    52130    52011 |  27    51808    51578
    23000    895s |  64    53374    52011 |  63    43149    40570
    23500    929s |  59    52615    52011 |  28    52760    52059
    24000    952s |  33    52518    52011 |  47    53766    52068
    24500    975s |  59    53604    52011 |  44    54441    52039
    25000    995s |  64    52523    52011 |  50    52896    52060
H   25500   1013s |  33    52270    51948 |  45    52656    51764
    26000   1039s |  53    53436    51948 |  50    48188    47338
    26500   1076s |  28    52545    51948 |  64    54325    51832
H   27000   1099s |  59    53316    51947 |  30    38013    33907
    27500   1125s |  42    52721    51947 |  40    52057    51596
    28000   1153s |  46    52614    51947 |  48    52840    51984
    28500   1191s |  34    53077    51947 |  50    49143    47646
H   29000   1209s |  56    52786    51946 |  37    53097    52010
    29500   1243s |  43    53177    51946 |  39    42064    40598
    30000   1281s |  29    52459    51946 |  63    58599    52047
    30500   1315s |  52    53603    51946 |  51    49328    47611
    31000   1345s |  39    52582    51946 |  30    45304    35110
    31500   1377s |  60    52736    51946 |  34    52065    51623
H   32000   1395s |  27    52451    51940 |  43    49175    47593
H   32500   1415s |  32    52967    51935 |  44    43035    40719
    33000   1438s |  37    53068    51935 |  63    43466    40591
    33500   1471s |  34    52709    51935 |  30    49241    47556
    34000   1504s |  50    52860    51935 |  48    53680    51971
    34500   1542s |  40    53292    51935 |  54    37872    34093
    35000   1573s |  56    53617    51935 |  44    49222    47545
    35500   1590s |  35    52414    51935 |  34    51880    51560
    36000   1629s |  58    53786    51935 |  45    49397    47509
    36500   1649s |  39    52388    51935 |  35    52415    51971
    37000   1674s |  51    52883    51935 |  25    51999    51659
    37500   1697s |  48    52334    51935 |  42    52231    51968
    38000   1720s |  55    52443    51935 |  27    52594    52012
H   38500   1741s |  25    52270    51932 |  35    52717    51987
H   39000   1766s |  36    52738    51930 |  62    54192    52053
    39500   1789s |  44    52719    51930 |  48    52915    51886
H   40000   1821s |  53    53542    51929 |  49    49221    47627
H   40500   1849s |  42    52178    51913 |  35    52327    51957
    41000   1879s |  28    52376    51913 |  31    52257    51708
H   41500   1892s |  31    52229    51906 |  62    52927    52014
    42000   1926s |  56    52986    51906 |  55    53400    51949
    42500   1946s |  62    53670    51906 |  49    48398    47337
    43000   1970s |  39    52664    51906 |  31    52422    51737
    43500   2008s |  53    52832    51906 |  32    52159    51708
    44000   2022s |  28    52173    51906 |  45    52294    51964
    44500   2055s |  26    52352    51906 |  26    48708    47547
    45000   2095s |  44    53403    51906 |  46    48870    47499
    45500   2121s |  64    52661    51906 |  49    52429    51691
    46000   2150s |  61    53048    51906 |  36    52148    51653
    46500   2183s |  29    52526    51906 |  39    52964    51818
    47000   2204s |  41    52716    51906 |  58    52079    51682
    47500   2223s |  40    52976    51906 |  31    52773    52049
    48000   2246s |  41    52492    51906 |  61    52864    51951
    48500   2265s |  60    52863    51906 |  33    52008    51595
    49000   2288s |  26    52597    51906 |  49    33238    29355
    49500   2313s |  40    52584    51906 |  48    52000    51560
    50000   2340s |  42    52242    51906 |  44    52746    52008
    50500   2370s |  63    53005    51906 |  49    52121    51663
    51000   2397s |  56    53501    51906 |  26    42610    40597
    51500   2432s |  38    52364    51906 |  32    52782    51978
    52000   2456s |  46    52598    51906 |  37    52236    51564
    52500   2483s |  26    52298    51906 |  60    52130    51660
    53000   2512s |  29    52539    51906 |  42    42683    40601
    53500   2540s |  38    53167    51906 |  25    42029    40432
    54000   2572s |  65    52915    51906 |  27    51975    51537
    54500   2610s |  34    53027    51906 |  63    42572    40579
    55000   2635s |  51    52266    51906 |  28    52425    51940
    55500   2670s |  55    53909    51906 |  32    43380    40451
    56000   2702s |  49    52764    51906 |  29    52859    51996
    56500   2730s |  35    53127    51906 |  52    41889    40524
    57000   2758s |  48    53377    51906 |  52    54431    51648
    57500   2774s |  46    52507    51906 |  62    51929    51558
    58000   2804s |  37    52641    51906 |  65    53451    52030
    58500   2833s |  55    53726    51906 |  46    49521    47715
    59000   2851s |  30    52369    51906 |  30    52003    51613
    59500   2883s |  45    52978    51906 |  25    38512    28970
    60000   2907s |  40    52997    51906 |  43    49581    48507
    60500   2920s |  36    52215    51906 |  64    52434    51949
    61000   2943s |  54    52947    51906 |  59    53046    51828
R                 |        restart        |        restart
    61500   2964s |  26    72285    53035 |  26    52990    52465
    62000   2983s |  51    62992    52838 |  64    53680    52752
    62500   2998s |  50    62702    52498 |  25    52785    52491
    63000   3011s |  30    68856    52321 |  45    52813    52281
    63500   3027s |  33    52854    52253 |  57    53109    52195
    64000   3041s |  58    53292    52184 |  51    53230    52218
    64500   3056s |  37    52554    52128 |  65    52613    52174
    65000   3068s |  55    52499    52100 |  62    52617    52130
    65500   3078s |  25    52139    52062 |  57    52429    52055
    66000   3088s |  51    52660    52029 |  26    52057    51873
    66500   3101s |  31    52188    52023 |  35    52506    52097
    67000   3117s |  36    52332    51993 |  64    52739    52083
    67500   3130s |  26    52304    51993 |  45    45310    43615
    68000   3163s |  27    52561    51993 |  63    54307    52169
    68500   3177s |  27    52326    51986 |  54    53327    52008
    69000   3188s |  55    52269    51969 |  49    52181    51990
    69500   3206s |  34    52442    51969 |  40    52323    51999
    70000   3228s |  58    53001    51969 |  46    52413    51860
    70500   3242s |  48    52615    51956 |  60    50573    44153
    71000   3263s |  59    53234    51945 |  54    46926    43641
    71500   3277s |  34    52210    51933 |  27    52191    51964
    72000   3297s |  49    52412    51933 |  56    52371    51978
H   72500   3314s |  49    52470    51904 |  30    52782    52004
H   73000   3336s |  61    52571    51895 |  48    52319    51890
    73500   3374s |  54    53245    51895 |  31    52851    51613
    74000   3389s |  62    52630    51895 |  43    51918    51535
    74500   3433s |  41    52576    51895 |  26    52379    51722
H   75000   3450s |  49    53432    51890 |  28    43563    40437
    75500   3494s |  46    52490    51890 |  41    52759    51833
    76000   3530s |  33    52741    51890 |  44    42049    40547
    76500   3563s |  52    52845    51890 |  48    52134    51634
    77000   3589s |  47    52607    51890 |  62    52660    51940

Search terminated in 3600.10s after 77249 iterations.
Best-found solution has cost 51890.

Solution results
================
    # routes: 29
   # clients: 358
   objective: 51890
    distance: 51890
    duration: 51890
# iterations: 77249
    run-time: 3600.10 seconds

Solving the file: X-n367-k17.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    366 clients
    366 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     25s |  27    36396    23296 |  46    24305    23044
H    1000     46s |  59    29223    23031 |  48    23300    23021
H    1500     63s |  42    23148    22981 |  38    23135    22987
H    2000     89s |  51    23198    22916 |  39    23094    22897
H    2500    112s |  58    23082    22897 |  63    23294    22891
H    3000    125s |  52    23136    22896 |  60    23042    22840
     3500    134s |  40    22996    22896 |  50    22917    22893
     4000    142s |  47    22966    22896 |  34    23024    22889
H    4500    161s |  38    23512    22862 |  57    20854    19901
H    5000    188s |  55    23043    22842 |  34    22952    22847
     5500    225s |  57    23372    22842 |  51    25054    23265
H    6000    251s |  47    23138    22839 |  54    23011    22812
     6500    277s |  56    23189    22839 |  35    22919    22755
     7000    317s |  44    22986    22839 |  39    23273    22850
     7500    370s |  50    23397    22839 |  57    20667    19941
     8000    398s |  65    23589    22839 |  60    23537    22860
     8500    438s |  29    23121    22839 |  51    23511    22850
     9000    476s |  60    23362    22839 |  26    20620    19985
     9500    500s |  40    23058    22839 |  47    17989    17020
    10000    525s |  43    23287    22839 |  32    20692    19978
    10500    552s |  64    23400    22839 |  34    22887    22736
H   11000    586s |  52    23284    22833 |  44    23333    22756
    11500    598s |  32    23028    22833 |  49    22831    22700
H   12000    638s |  63    23489    22832 |  54    24583    22871
    12500    668s |  26    23025    22832 |  42    17970    17084
    13000    698s |  46    23210    22832 |  42    22898    22733
H   13500    728s |  49    23146    22830 |  34    16079    13955
    14000    773s |  25    23154    22830 |  37    18112    17162
    14500    802s |  46    23420    22830 |  41    20769    19764
H   15000    814s |  56    23207    22827 |  39    22806    22718
    15500    845s |  58    23101    22827 |  58    16221    14032
    16000    880s |  60    23072    22827 |  41    23368    22788
H   16500    921s |  36    23229    22826 |  33    23467    22799
H   17000    961s |  50    23049    22821 |  35    22885    22724
    17500   1001s |  30    23252    22821 |  29    20520    19938
    18000   1043s |  34    23486    22821 |  30    20613    19986
    18500   1072s |  40    23209    22821 |  29    22920    22729
    19000   1099s |  31    23148    22821 |  35    23068    22742
    19500   1133s |  40    23247    22821 |  27    15961    13906
    20000   1155s |  59    23177    22821 |  57    22873    22730
    20500   1180s |  50    23297    22821 |  26    22833    22729
    21000   1225s |  46    23377    22821 |  37    18288    17034
    21500   1265s |  34    23236    22821 |  42    18366    17334
    22000   1297s |  61    23172    22821 |  33    22919    22750
    22500   1344s |  40    23272    22821 |  39    18065    17160
    23000   1372s |  27    23083    22821 |  55    20868    19984
    23500   1412s |  64    23545    22821 |  54    20819    20001
    24000   1439s |  52    23136    22821 |  63    23551    22832
    24500   1492s |  58    23658    22821 |  37    20627    19910
    25000   1519s |  42    23256    22821 |  56    22950    22724
    25500   1558s |  60    23361    22821 |  58    23761    22834
    26000   1598s |  52    23322    22821 |  62    23373    22747
    26500   1628s |  26    23084    22821 |  40    16383    14123
    27000   1666s |  31    23136    22821 |  35    23147    22798
    27500   1706s |  53    23217    22821 |  38    23238    22735
H   28000   1727s |  56    23084    22818 |  40    18980    17199
    28500   1767s |  31    23312    22818 |  35    20691    19966
    29000   1801s |  62    23496    22818 |  28    23479    22818
H   29500   1843s |  41    23195    22817 |  25    15990    14047
    30000   1888s |  31    23154    22817 |  32    18633    17189
    30500   1933s |  43    23371    22817 |  41    24560    22913
    31000   1972s |  56    23408    22817 |  36    20650    19882
    31500   2011s |  65    23257    22817 |  33    20850    19884
    32000   2053s |  35    23378    22817 |  48    23105    22816
    32500   2080s |  61    23229    22817 |  34    20122    14277
    33000   2107s |  52    23355    22817 |  33    22893    22737
    33500   2119s |  52    23208    22817 |  42    22870    22730
    34000   2148s |  64    23089    22817 |  26    16504    14179
    34500   2170s |  47    23222    22817 |  47    22832    22727
    35000   2196s |  59    23174    22817 |  28    23138    22823
    35500   2211s |  32    23061    22817 |  59    22909    22719
    36000   2225s |  27    23014    22817 |  31    22826    22664
    36500   2252s |  43    23420    22817 |  48    23751    22863
    37000   2280s |  45    23200    22817 |  63    23286    22840
    37500   2318s |  36    23500    22817 |  57    20641    19808
    38000   2333s |  37    23244    22817 |  35    22865    22714
    38500   2360s |  31    23293    22817 |  63    23123    22728
    39000   2401s |  61    23616    22817 |  26    23617    22878
    39500   2428s |  54    23404    22817 |  27    23006    22721
    40000   2463s |  29    23277    22817 |  64    18155    17143
    40500   2504s |  56    23230    22817 |  26    18937    17261
    41000   2545s |  51    23586    22817 |  63    18115    17298
    41500   2590s |  48    23588    22817 |  41    20628    19910
    42000   2631s |  28    23209    22817 |  52    24232    22892
    42500   2674s |  56    23489    22817 |  58    23344    22712
    43000   2716s |  57    23488    22817 |  65    24747    22836
    43500   2757s |  48    23597    22817 |  64    25054    23035
    44000   2794s |  34    23224    22817 |  63    17921    14034
    44500   2817s |  42    23183    22817 |  50    22818    22724
    45000   2859s |  27    23236    22817 |  60    23753    22836
    45500   2901s |  60    23453    22817 |  64    23252    22748
    46000   2931s |  56    23308    22817 |  64    20466    14010
    46500   2955s |  47    23155    22817 |  65    22883    22713
    47000   2981s |  58    23395    22817 |  33    23117    22724
    47500   3009s |  31    23167    22817 |  25    18415    14227
    48000   3042s |  32    23137    22817 |  60    18409    17357
    48500   3084s |  43    23196    22817 |  28    19147    17117
    49000   3115s |  44    23384    22817 |  60    23128    22780
R                 |        restart        |        restart
    49500   3136s |  42    31933    23368 |  37    23763    23351
    50000   3153s |  63    28776    23158 |  63    23312    23161
    50500   3176s |  41    31757    23004 |  52    23412    22957
    51000   3201s |  29    35046    22931 |  39    17950    17184
    51500   3233s |  53    23352    22923 |  26    22992    22827
    52000   3259s |  27    23048    22896 |  46    24179    22918
    52500   3286s |  39    23101    22874 |  52    23124    22877
    53000   3313s |  36    23324    22869 |  58    23028    22726
    53500   3349s |  36    23236    22866 |  26    18266    17246
    54000   3382s |  41    23112    22855 |  56    16385    14103
    54500   3422s |  51    23044    22855 |  29    18044    17061
    55000   3461s |  50    23210    22855 |  33    18128    17182
    55500   3502s |  29    23116    22855 |  43    20632    19938
    56000   3543s |  32    23221    22855 |  56    24612    22884
    56500   3585s |  29    23095    22855 |  59    16860    13880

Search terminated in 3600.05s after 56682 iterations.
Best-found solution has cost 22817.

Solution results
================
    # routes: 17
   # clients: 366
   objective: 22817
    distance: 22817
    duration: 22817
# iterations: 56682
    run-time: 3600.05 seconds

Solving the file: X-n376-k94.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    375 clients
    375 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     13s |  41   158849   148436 |  33   150792   150272
H    1000     24s |  49   156956   148216 |  33   150062   149415
H    1500     34s |  44   157680   147952 |  46   149739   149066
     2000     44s |  51   156247   147952 |  47   149693   148690
H    2500     54s |  29   148067   147880 |  36   148140   147925
     3000     63s |  44   148139   147880 |  29   149420   149027
H    3500     72s |  65   148080   147859 |  57   148950   148386
H    4000     82s |  28   148028   147856 |  61   148134   147695
H    4500     92s |  38   148002   147840 |  59   151822   148847
H    5000    101s |  59   148014   147839 |  46   149166   148835
H    5500    110s |  41   147916   147824 |  31   149098   148563
H    6000    118s |  60   148018   147822 |  61   149391   148886
H    6500    128s |  47   147943   147799 |  41   149240   148586
H    7000    139s |  40   147887   147773 |  56   151831   148652
H    7500    147s |  41   147920   147766 |  63   149500   149053
     8000    156s |  46   147904   147766 |  25   155341   148111
H    8500    164s |  42   147820   147764 |  37   148929   148407
H    9000    172s |  30   147831   147758 |  57   149016   148799
     9500    179s |  53   147880   147758 |  42   149042   148770
    10000    187s |  37   147940   147758 |  25   149632   149370
    10500    195s |  53   148049   147758 |  58   149580   149028
    11000    203s |  28   147893   147758 |  50   150268   148069
    11500    212s |  36   147912   147758 |  50   150189   149849
H   12000    220s |  52   147932   147740 |  42   149468   149245
    12500    227s |  58   147816   147740 |  44   149153   148803
H   13000    235s |  36   147817   147739 |  33   149455   149392
    13500    242s |  58   147849   147739 |  60   149391   148928
    14000    251s |  33   147802   147739 |  52   153643   148319
    14500    261s |  65   147863   147739 |  28   153570   148304
    15000    269s |  34   147981   147739 |  26   149351   149207
    15500    276s |  49   147901   147739 |  60   148525   148075
    16000    284s |  54   147997   147739 |  63   149824   149392
    16500    292s |  48   147955   147739 |  36   149942   149533
    17000    300s |  53   147883   147739 |  39   149868   149117
    17500    307s |  39   147821   147739 |  61   149766   148419
    18000    316s |  37   147881   147739 |  30   149006   148774
    18500    324s |  39   147901   147739 |  36   148350   148089
    19000    331s |  43   147977   147739 |  40   149663   149414
H   19500    338s |  40   147799   147734 |  51   149316   148951
    20000    345s |  41   147833   147734 |  58   148776   148257
    20500    352s |  32   147823   147734 |  34   149398   149123
    21000    360s |  38   147840   147734 |  36   148339   148033
H   21500    366s |  47   147765   147731 |  35   148811   148763
    22000    373s |  37   147796   147731 |  53   149630   149331
    22500    379s |  54   147818   147731 |  44   148665   148433
    23000    386s |  45   147828   147731 |  61   148749   148475
    23500    393s |  57   147916   147731 |  57   149303   148989
    24000    401s |  45   147858   147731 |  36   149519   148750
    24500    409s |  65   148115   147731 |  65   149699   149286
    25000    417s |  49   147995   147731 |  48   149386   149265
    25500    424s |  65   148002   147731 |  40   149243   148810
    26000    431s |  25   147924   147731 |  47   148807   148453
    26500    438s |  65   147903   147731 |  56   149359   148960
    27000    446s |  55   147891   147731 |  33   149365   149017
    27500    453s |  61   147921   147731 |  35   149619   149151
    28000    461s |  39   147869   147731 |  65   149026   148726
    28500    468s |  35   147872   147731 |  36   148278   148068
    29000    475s |  56   147931   147731 |  64   149042   148772
    29500    482s |  43   147792   147731 |  44   148360   148102
    30000    495s |  60   147888   147731 |  35   151035   149458
    30500    503s |  55   147964   147731 |  48   147966   147679
    31000    512s |  55   147972   147731 |  56   148251   148072
    31500    519s |  54   147899   147731 |  65   148989   148734
    32000    526s |  31   147870   147731 |  55   148739   148411
    32500    533s |  45   147979   147731 |  49   148410   148151
    33000    541s |  62   147941   147731 |  40   148794   148529
    33500    548s |  31   147931   147731 |  38   149302   148206
    34000    557s |  31   147912   147731 |  46   149325   148755
    34500    565s |  35   147919   147731 |  50   148745   148411
    35000    573s |  31   147901   147731 |  62   151218   149403
    35500    580s |  46   147896   147731 |  55   148682   148464
    36000    588s |  49   147986   147731 |  60   149248   148958
    36500    595s |  38   147829   147731 |  38   148776   148536
    37000    603s |  46   147991   147731 |  38   148287   148040
    37500    611s |  59   147965   147731 |  33   148077   147865
    38000    618s |  26   147995   147731 |  33   148994   148788
    38500    625s |  50   148005   147731 |  58   148022   147890
    39000    633s |  27   148015   147731 |  48   148061   147883
    39500    641s |  64   147887   147731 |  60   149209   149002
    40000    648s |  32   147864   147731 |  59   149025   148619
    40500    655s |  26   147913   147731 |  32   149055   148665
    41000    663s |  47   147875   147731 |  60   148809   148347
R                 |        restart        |        restart
    41500    674s |  55   156340   148588 |  38   149397   148854
    42000    684s |  32   161353   148187 |  28   148634   148474
    42500    695s |  57   155744   148051 |  52   150500   148707
    43000    705s |  38   159219   148051 |  38   149627   149024
    43500    715s |  50   156509   148025 |  34   149205   148632
    44000    724s |  33   148224   147991 |  59   148351   148084
    44500    732s |  29   148054   147988 |  30   149637   149106
    45000    741s |  42   148196   147963 |  25   148491   148158
    45500    750s |  36   148071   147933 |  39   149432   148876
    46000    759s |  40   148005   147917 |  43   150915   148411
    46500    768s |  58   148168   147877 |  33   148892   148171
    47000    777s |  29   148055   147830 |  29   149917   148297
    47500    786s |  32   147864   147769 |  34   148402   148117
    48000    796s |  48   147932   147753 |  26   149124   148952
    48500    804s |  35   147863   147752 |  47   149940   149604
    49000    811s |  30   147838   147752 |  60   149546   148231
    49500    819s |  33   147924   147749 |  65   149677   149147
H   50000    827s |  60   147904   147724 |  46   148351   147999
    50500    835s |  53   147841   147724 |  61   149643   149311
    51000    843s |  47   147843   147724 |  34   148270   148083
H   51500    850s |  53   147800   147721 |  36   148725   148452
    52000    858s |  50   147785   147721 |  47   149307   148535
    52500    866s |  65   147908   147721 |  40   149141   149079
    53000    873s |  44   147858   147721 |  28   148963   148673
    53500    880s |  52   147885   147721 |  28   148085   148034
    54000    887s |  63   147877   147721 |  25   149478   149406
H   54500    894s |  65   147792   147718 |  31   149072   148877
    55000    902s |  47   147761   147718 |  57   147872   147726
    55500    909s |  58   147885   147718 |  54   147960   147713
    56000    917s |  31   147881   147718 |  48   148013   147937
    56500    924s |  46   147810   147718 |  41   148259   147964
    57000    930s |  30   147902   147718 |  65   147926   147786
    57500    937s |  50   147879   147718 |  53   149498   149298
    58000    944s |  46   147791   147718 |  65   148303   148075
    58500    953s |  29   147869   147718 |  49   149288   148585
    59000    960s |  38   147884   147718 |  48   147905   147701
    59500    970s |  42   147915   147718 |  52   149492   148549
    60000    977s |  59   147909   147718 |  43   147859   147735
    60500    984s |  45   147826   147718 |  65   149469   149193
    61000    992s |  49   147861   147718 |  28   151645   148601
    61500   1001s |  25   147912   147718 |  60   150803   148216
    62000   1011s |  38   147940   147718 |  55   150218   148167
    62500   1020s |  31   147899   147718 |  29   148612   148220
    63000   1028s |  62   147907   147718 |  47   152725   148694
    63500   1038s |  42   147863   147718 |  34   148878   148379
    64000   1046s |  26   147885   147718 |  58   151919   148326
    64500   1054s |  39   147915   147718 |  53   149805   149384
    65000   1062s |  63   148011   147718 |  37   149620   149441
    65500   1071s |  54   147907   147718 |  54   151816   148597
    66000   1079s |  53   147924   147718 |  63   149486   149028
    66500   1087s |  38   147865   147718 |  45   147985   147760
    67000   1095s |  60   147901   147718 |  31   148847   148669
    67500   1101s |  34   147787   147718 |  65   148533   148349
    68000   1109s |  53   147828   147718 |  54   149130   148803
    68500   1117s |  58   147898   147718 |  57   151080   148034
    69000   1126s |  59   147872   147718 |  64   150893   148070
    69500   1135s |  27   147877   147718 |  63   148159   147795
    70000   1144s |  58   147934   147718 |  40   153120   148195
    70500   1154s |  55   147854   147718 |  51   149695   148441
    71000   1162s |  60   147965   147718 |  54   148065   147834
    71500   1171s |  29   147925   147718 |  52   150770   147932
    72000   1181s |  51   147926   147718 |  38   152131   148531
    72500   1189s |  30   147911   147718 |  26   147944   147670
    73000   1201s |  63   147798   147718 |  42   153916   148352
    73500   1209s |  39   147928   147718 |  33   149047   148707
    74000   1217s |  48   147968   147718 |  32   148936   148727
R                 |        restart        |        restart
    74500   1225s |  27   164121   148698 |  57   150285   149320
    75000   1236s |  60   155617   148390 |  32   149420   148786
    75500   1247s |  52   156512   148289 |  48   150719   150074
    76000   1258s |  42   158276   148229 |  25   149897   149557
    76500   1267s |  44   157702   148193 |  31   149514   149112
    77000   1277s |  38   159234   148133 |  45   148952   148402
    77500   1287s |  59   155359   148105 |  32   148609   148424
    78000   1297s |  33   160714   148068 |  25   148157   148023
    78500   1307s |  39   158795   148066 |  27   150412   148700
    79000   1317s |  25   164548   148053 |  49   149354   148353
    79500   1327s |  53   148348   147984 |  29   148642   148133
    80000   1336s |  45   148240   147971 |  45   150405   149638
    80500   1345s |  53   148166   147929 |  45   148975   148704
    81000   1355s |  49   148258   147875 |  57   149845   149285
    81500   1364s |  50   148112   147875 |  64   150842   149333
    82000   1373s |  65   148100   147867 |  57   148194   147971
    82500   1381s |  54   148049   147835 |  35   149151   148869
    83000   1390s |  34   147934   147830 |  63   149074   148540
    83500   1398s |  60   147976   147824 |  45   148185   147966
    84000   1406s |  63   147998   147805 |  50   149269   149056
    84500   1415s |  28   147939   147788 |  52   148075   147856
    85000   1423s |  41   147884   147777 |  47   149126   148736
    85500   1431s |  46   147821   147762 |  50   151149   148456
    86000   1439s |  35   147827   147758 |  28   149110   148900
    86500   1447s |  26   147768   147758 |  45   148917   148026
    87000   1454s |  53   147789   147758 |  26   148727   148603
    87500   1461s |  62   147886   147756 |  25   148869   148639
    88000   1470s |  48   147869   147756 |  47   149404   148080
    88500   1478s |  43   147834   147756 |  60   149140   148776
    89000   1485s |  32   147865   147756 |  38   148013   147888
    89500   1493s |  38   147841   147756 |  40   149198   148878
    90000   1500s |  32   147839   147756 |  54   147993   147943
    90500   1507s |  35   147844   147756 |  59   149372   149011
    91000   1514s |  40   147923   147756 |  62   149594   149103
    91500   1521s |  35   147853   147756 |  34   148721   148089
    92000   1532s |  52   147858   147756 |  25   149674   148160
    92500   1539s |  48   147869   147756 |  37   149168   148896
    93000   1546s |  33   147868   147756 |  60   148732   148472
    93500   1553s |  42   147873   147756 |  59   149976   149484
    94000   1561s |  25   147961   147756 |  43   148928   148528
R                 |        restart        |        restart
    94500   1570s |  34   450025   148694 |  51   151003   149439
    95000   1581s |  50   156812   148171 |  43   148632   148237
    95500   1592s |  35   160229   148171 |  25   149588   149145
    96000   1602s |  40   158622   148134 |  28   148852   148489
    96500   1612s |  31   161503   148006 |  45   148445   148174
    97000   1622s |  43   157763   147988 |  41   149953   149366
    97500   1631s |  26   163883   147984 |  25   150349   148348
    98000   1642s |  59   148124   147933 |  41   154359   148533
    98500   1651s |  43   148147   147914 |  65   151882   148965
    99000   1660s |  65   148157   147881 |  51   148608   148194
    99500   1668s |  61   148110   147784 |  63   148682   148156
   100000   1677s |  61   148032   147769 |  30   148407   148193
   100500   1686s |  38   147865   147745 |  61   149614   148244
   101000   1694s |  43   147815   147744 |  64   148751   148311
   101500   1702s |  40   147776   147744 |  34   148414   148086
   102000   1710s |  33   147849   147744 |  49   150036   149475
   102500   1718s |  59   147834   147744 |  31   148341   148166
   103000   1726s |  30   147844   147740 |  27   149830   149061
   103500   1734s |  60   147839   147740 |  46   148912   148300
   104000   1743s |  36   147934   147740 |  37   148610   148342
   104500   1750s |  46   147903   147740 |  35   149044   148768
   105000   1758s |  37   147879   147740 |  52   148349   148106
   105500   1766s |  42   147943   147740 |  55   147853   147712
   106000   1774s |  38   147859   147740 |  26   149054   148983
   106500   1782s |  60   147880   147740 |  53   148800   148230
   107000   1790s |  56   147898   147740 |  65   149237   148647
   107500   1799s |  56   147815   147732 |  32   149724   148092
   108000   1812s |  26   147837   147732 |  29   151237   148896
   108500   1820s |  57   147838   147732 |  47   149378   148915
   109000   1832s |  38   147912   147732 |  33   152984   148578
   109500   1840s |  52   147916   147732 |  27   147978   147860
   110000   1847s |  25   147857   147732 |  62   148061   147834
   110500   1855s |  48   147829   147732 |  47   148954   148336
   111000   1862s |  43   147856   147732 |  60   149822   149289
   111500   1870s |  42   147895   147725 |  28   149033   148849
   112000   1877s |  33   147814   147724 |  45   149021   148891
   112500   1885s |  31   147847   147724 |  55   150454   148021
   113000   1892s |  30   147831   147724 |  64   148886   148587
   113500   1899s |  35   147830   147724 |  26   148876   148590
   114000   1906s |  59   147906   147724 |  51   149247   148261
R                 |        restart        |        restart
   114500   1916s |  39   159322   148475 |  47   148979   148577
   115000   1927s |  51   156735   148241 |  43   149612   149002
   115500   1937s |  64   154970   148216 |  38   149483   148886
   116000   1948s |  27   163585   148216 |  42   148719   148352
   116500   1958s |  60   155284   148108 |  58   150184   149453
   117000   1968s |  33   160780   148063 |  52   148580   148115
   117500   1979s |  65   154717   148043 |  28   152871   148637
   118000   1989s |  36   148201   148043 |  65   150589   149537
   118500   1998s |  43   148227   148008 |  25   149298   149065
   119000   2008s |  61   148221   147987 |  56   151576   148302
   119500   2018s |  57   148228   147974 |  27   149838   149333
   120000   2027s |  26   148068   147892 |  25   148495   148264
   120500   2037s |  36   148215   147854 |  64   153179   148141
   121000   2047s |  29   148043   147851 |  38   148271   148023
   121500   2056s |  28   147962   147846 |  47   150501   148642
   122000   2065s |  55   148055   147821 |  28   148919   148578
   122500   2073s |  36   147959   147820 |  55   149864   149667
   123000   2081s |  51   147900   147805 |  48   149514   148693
   123500   2091s |  28   147830   147783 |  38   152907   148558
   124000   2100s |  47   148092   147753 |  27   149908   148843
   124500   2109s |  32   147844   147753 |  50   150139   148599
   125000   2118s |  54   147947   147753 |  36   151076   148769
   125500   2126s |  47   147968   147753 |  51   148089   147837
   126000   2136s |  57   148009   147753 |  49   150070   148711
   126500   2145s |  36   147904   147752 |  37   148973   148738
   127000   2155s |  62   147944   147752 |  60   152636   148040
   127500   2170s |  46   147891   147752 |  43   152160   146527
   128000   2180s |  26   147931   147752 |  30   151548   148235
   128500   2188s |  27   147844   147752 |  37   151157   148248
   129000   2196s |  56   147954   147752 |  57   151190   148087
   129500   2206s |  41   147958   147752 |  39   148991   148601
   130000   2216s |  64   147964   147752 |  65   151065   148472
   130500   2224s |  51   147892   147752 |  45   147905   147719
   131000   2233s |  34   147860   147752 |  29   148635   148394
   131500   2244s |  35   147811   147752 |  36   159615   148224
   132000   2253s |  28   147821   147752 |  51   154379   148128
   132500   2263s |  32   147945   147752 |  55   151524   148630
   133000   2273s |  36   148054   147752 |  59   148066   147664
   133500   2283s |  43   147973   147752 |  60   151780   148118
